BLOCK NAME,LEGNTH,PARAMETER,REMARK
BAR-01-01,A,1,UpdatedDistance
BAR-01-02,A,1,UpdatedDistance
BAR-02-01,A,1,UpdatedDistance
BAR-02-01,B,8,UpdatedDistance
BAR-02-02,A,1,UpdatedDistance
BAR-02-02,B,8,UpdatedDistance
BAR-03-01,A,1,UpdatedDistance
BAR-03-01,B,8,UpdatedDistance
BAR-03-01,C,15,UpdatedDistance
BAR-03-02,A,1,UpdatedDistance
BAR-03-02,B,8,UpdatedDistance
BAR-03-02,C,15,UpdatedDistance
BAR-03-03,A,1,UpdatedDistance
BAR-03-03,B,8,UpdatedDistance
BAR-03-03,C,15,UpdatedDistance
BAR-11-01,A,1,UpdatedDistance
BAR-11-01,B,8,UpdatedDistance
BAR-11-01,C,15,UpdatedDistance
BAR-11-01,Y1,22,UpdatedDistanceY
BAR-11-02,A,2,UpdatedDistance
BAR-11-02,B,9,UpdatedDistanceX
BAR-11-02,C,22,UpdatedDistance
BAR-11-02,Y1,9,UpdatedDistanceY
BAR-10-01,A,1,UpdatedDistance
BAR-10-01,B,8,UpdatedDistance
BAR-10-01,C,15,UpdatedDistance
BAR-10-01,D,22,UpdatedDistance
BAR-10-01,E,29,UpdatedDistance
BAR-10-01,Y1,36,UpdatedDistanceY
BAR-10-01,Y2,49,UpdatedDistanceY
BAR-39-01,A,1,UpdatedDistance
BAR-39-01,B,8,UpdatedDistance
BAR-39-01,C,15,UpdatedDistance
BAR-39-01,D,22,UpdatedDistance
BAR-39-01,E,29,UpdatedDistance
BAR-39-01,F,36,UpdatedDistance
BAR-39-01,G,43,UpdatedDistance
BAR-39-01,Y1,51,UpdatedDistanceY
BAR-39-01,Y2,64,UpdatedDistanceY
BAR-04-01,A,1,UpdatedDistance
BAR-04-01,B,8,UpdatedDistance
BAR-04-01,C,15,UpdatedDistance
BAR-04-01,D,22,UpdatedDistance
BAR-04-01,E,29,UpdatedDistance
BAR-05-01,A,1,UpdatedDistance
BAR-05-01,B,8,UpdatedDistance
BAR-05-01,C,15,UpdatedDistance
BAR-05-01,D,22,UpdatedDistance
BAR-05-01,E,29,UpdatedDistance
BAR-12-01,A,1,UpdatedDistance
BAR-12-01,B,8,UpdatedDistance
BAR-12-01,C,15,UpdatedDistance
BAR-12-02,A,1,UpdatedDistance
BAR-12-02,B,8,UpdatedDistance
BAR-12-02,C,15,UpdatedDistance
BAR-36-01,A,1,UpdatedDistance
BAR-36-01,B,8,UpdatedDistance
BAR-36-01,C,15,UpdatedDistance
BAR-36-01,Y1,22,UpdatedDistanceY
BAR-40-01,A,1,UpdatedDistance
BAR-40-01,B,8,UpdatedDistance
BAR-40-01,C,15,UpdatedDistance
BAR-40-01,D,22,UpdatedDistance
BAR-40-01,E,29,UpdatedDistance
BAR-14-01,A,1,UpdatedDistance
BAR-14-01,B,8,UpdatedDistance
BAR-14-01,C,15,UpdatedDistance
BAR-14-01,D,22,UpdatedDistance
BAR-14-01,E,29,UpdatedDistance
BAR-14-01,F,36,UpdatedDistance
BAR-14-02,A,1,UpdatedDistance
BAR-14-02,B,8,UpdatedDistance
BAR-14-02,C,15,UpdatedDistance
BAR-14-02,D,22,UpdatedDistance
BAR-14-02,E,29,UpdatedDistance
BAR-14-02,F,36,UpdatedDistance
BAR-03-04,A,1,UpdatedDistance
BAR-03-04,B,8,UpdatedDistance
BAR-03-04,C,15,UpdatedDistance
BAR-02-03,A,1,UpdatedDistance
BAR-02-03,B,8,UpdatedDistance
BAR-04-02,A,1,UpdatedDistance
BAR-04-02,B,8,UpdatedDistance
BAR-04-02,C,15,UpdatedDistance
BAR-04-02,D,22,UpdatedDistance
BAR-04-02,E,29,UpdatedDistance
BAR-05-02,A,1,UpdatedDistance
BAR-05-02,B,8,UpdatedDistance
BAR-05-02,C,15,UpdatedDistance
BAR-05-02,D,22,UpdatedDistance
BAR-05-02,E,29,UpdatedDistance
BAR-12-03,A,1,UpdatedDistance
BAR-12-03,B,8,UpdatedDistance
BAR-12-03,C,15,UpdatedDistance
BAR-06-01,A,1,UpdatedDistance
BAR-06-01,B,8,UpdatedDistance
BAR-06-01,C,15,UpdatedDistance
