BLOCK NAME ,LEGNTH ,PARAMETER ,REMARK
BAR-01-01,A,1,UpdatedDistance
BAR-01-02,A,1,UpdatedDistance
BAR-02-01,A,1,UpdatedDistance
BAR-02-01,B,8,UpdatedDistance
BAR-02-02,A,1,UpdatedDistance
BAR-02-02,B,8,UpdatedDistance
BAR-03-01,A,1,UpdatedDistance
BAR-03-01,B,8,UpdatedDistance
BAR-03-01,C,15,UpdatedDistance
BAR-03-02,A,1,UpdatedDistance
BAR-03-02,B,8,UpdatedDistance
BAR-03-02,C,15,UpdatedDistance
BAR-03-03,A,1,UpdatedDistance
BAR-03-03,B,8,UpdatedDistance
BAR-03-03,C,15,UpdatedDistance
BAR-11-01,A,1,UpdatedDistance
BAR-11-01,B,8,UpdatedDistance
BAR-11-01,C,15,UpdatedDistance
BAR-11-01,Y1,22,UpdatedDistanceY
BAR-11-02,A,2,UpdatedDistance
BAR-11-02,B,9,UpdatedDistanceX
BAR-11-02,C,22,UpdatedDistance
BAR-11-02,Y1,9,UpdatedDistanceY
BAR-10-01,A,1,UpdatedDistance
BAR-10-01,B,8,UpdatedDistance
BAR-10-01,C,15,UpdatedDistance
BAR-10-01,D,22,UpdatedDistance
BAR-10-01,E,29,UpdatedDistance
BAR-10-01,Y1,36,UpdatedDistanceY
BAR-10-01,Y2,49,UpdatedDistanceY
BAR-39-01,A,1,UpdatedDistance
BAR-39-01,B,8,UpdatedDistance
BAR-39-01,C,15,UpdatedDistance
BAR-39-01,D,22,UpdatedDistance
BAR-39-01,E,29,UpdatedDistance
BAR-39-01,F,36,UpdatedDistance
BAR-39-01,G,43,UpdatedDistance
BAR-39-01,Y1,51,UpdatedDistanceY
BAR-39-01,Y2,64,UpdatedDistanceY
BAR-04-01,A,70,UpdatedDistance
BAR-04-01,B,79,UpdatedDistance
BAR-04-01,C,87,UpdatedDistance
BAR-04-01,D,94,UpdatedDistance
BAR-04-01,E,101,UpdatedDistance
BAR-05-01,A,1,UpdatedDistance
BAR-05-01,B,36,UpdatedDistance
BAR-05-01,C,58,UpdatedDistance
BAR-05-01,D,43,UpdatedDistance
BAR-05-01,E,50,UpdatedDistance
